date,libelle,montant
2026-06-25,SALAIRE,1033810
2026-06-12,PRESTATION CLIENT,250000
2026-06-28,REMBOURSEMENT ASSURANCE,95000
2026-06-08,FORFAIT INTERNET 10GO,-25000
2026-06-15,ABONNEMENT ASSURANCE,-20000
2026-06-02,COTISATION HEBDOMADAIRE,-6000
2026-06-09,COTISATION HEBDOMADAIRE,-6000
2026-06-16,COTISATION HEBDOMADAIRE,-6000
2026-06-23,COTISATION HEBDOMADAIRE,-6000
2026-06-06,TRANSPORT,-27012
2026-06-10,CARBURANT,-22572
2026-06-26,TRANSPORT,-20848
2026-06-21,TAXI,-19041
2026-06-03,TRANSPORT,-25164
2026-06-10,TRANSPORT,-24515
2026-06-25,TAXI,-25223
2026-06-17,BUS,-18212
2026-06-27,CARBURANT,-31848
2026-06-13,BUS,-23094
2026-06-09,BUS,-21349
2026-06-06,ALIMENTATION,-28338
2026-06-15,COURSES QUOTIDIENNES,-61565
2026-06-12,SUPERMARCHE,-52108
2026-06-21,SUPERMARCHE,-46807
2026-06-06,RESTAURANT,-41213
2026-06-24,RESTAURANT,-45700
2026-06-22,EPICERIE,-26558
2026-06-05,EPICERIE,-40965
2026-06-06,EPICERIE,-28619
2026-06-16,COURSES QUOTIDIENNES,-51714
2026-06-24,COURSES QUOTIDIENNES,-32659
2026-06-15,COURSES QUOTIDIENNES,-35730
2026-06-25,COURSES QUOTIDIENNES,-64469
2026-06-06,RESTAURANT,-63613
2026-06-09,RESTAURANT,-38043
2026-06-10,CREDIT TELEPHONE,-19573
2026-06-17,CREDIT TELEPHONE,-16422
2026-06-25,CREDIT TELEPHONE,-21125
2026-06-12,CREDIT TELEPHONE,-17313
2026-06-07,PAPETERIE,-9051
2026-06-16,RESTAURANT,-16773
2026-06-08,PAPETERIE,-18311
2026-06-12,RESTAURANT,-20964
2026-06-26,RESTAURANT,-12681
2026-06-14,PAPETERIE,-16081
2026-06-22,ACHAT LIVRE MAISON,-18000
2026-07-25,SALAIRE,1023579
2026-07-08,PRESTATION CLIENT,320000
2026-07-08,Forfait internet 15 Go,-25000
2026-07-15,ABONNEMENT ASSURANCE,-20000
2026-07-02,COTISATION HEBDOMADAIRE,-6000
2026-07-09,COTISATION HEBDOMADAIRE,-6000
2026-07-16,COTISATION HEBDOMADAIRE,-6000
2026-07-23,COTISATION HEBDOMADAIRE,-6000
2026-07-20,BUS,-32038
2026-07-21,TAXI,-29861
2026-07-10,CARBURANT,-34696
2026-07-18,TRANSPORT,-19543
2026-07-06,CARBURANT,-23242
2026-07-28,TAXI,-20081
2026-07-15,TAXI,-33337
2026-07-19,BUS,-18376
2026-07-24,TRANSPORT,-26743
2026-07-27,BUS,-21655
2026-07-12,TAXI,-23182
2026-07-18,SUPERMARCHE,-39261
2026-07-20,EPICERIE,-55271
2026-07-07,COURSES QUOTIDIENNES,-63874
2026-07-20,RESTAURANT,-35035
2026-07-08,COURSES QUOTIDIENNES,-32587
2026-07-21,RESTAURANT,-22037
2026-07-23,COURSES QUOTIDIENNES,-54021
2026-07-04,SUPERMARCHE,-45788
2026-07-13,EPICERIE,-25796
2026-07-11,RESTAURANT,-27161
2026-07-06,ALIMENTATION,-26535
2026-07-28,RESTAURANT,-30241
2026-07-08,ALIMENTATION,-58031
2026-07-09,COURSES QUOTIDIENNES,-56581
2026-07-23,ALIMENTATION,-35880
2026-07-21,EPICERIE,-42428
2026-07-17,CREDIT TELEPHONE,-18118
2026-07-19,CREDIT TELEPHONE,-20479
2026-07-19,CREDIT TELEPHONE,-13982
2026-07-12,CREDIT TELEPHONE,-15681
2026-07-08,CANTINE,-8689
2026-07-24,COURSES DIVERSES,-15540
2026-07-24,PAPETERIE,-8235
2026-07-08,ACHAT DIVERS,-15501
2026-07-08,ACHAT DIVERS,-18827
2026-07-08,COURSES DIVERSES,-15798
2026-07-18,REPARATION VEHICULE,-220000
2026-07-15,ACHAT LIVRE MAISON,-18000
2026-08-25,SALAIRE,1037684
2026-08-10,PRESTATION CLIENT,275000
2026-08-24,REMBOURSEMENT DEPOT,110000
2026-08-08,FORFAIT INTERNET 15GO,-25000
2026-08-15,ABONNEMENT ASSURANCE,-20000
2026-08-02,COTISATION HEBDOMADAIRE,-6000
2026-08-09,COTISATION HEBDOMADAIRE,-6000
2026-08-16,COTISATION HEBDOMADAIRE,-6000
2026-08-23,COTISATION HEBDOMADAIRE,-6000
2026-08-18,CARBURANT,-22335
2026-08-26,TAXI,-25962
2026-08-28,TAXI,-31338
2026-08-09,TRANSPORT,-21176
2026-08-24,TAXI,-29609
2026-08-16,TAXI,-33303
2026-08-26,TRANSPORT,-21224
2026-08-04,TAXI,-29118
2026-08-28,TRANSPORT,-26147
2026-08-09,CARBURANT,-32700
2026-08-07,TAXI,-24012
2026-08-12,ALIMENTATION,-34940
2026-08-18,RESTAURANT,-33315
2026-08-24,RESTAURANT,-36112
2026-08-28,EPICERIE,-56634
2026-08-19,ALIMENTATION,-56282
2026-08-05,EPICERIE,-30141
2026-08-16,COURSES QUOTIDIENNES,-48694
2026-08-17,RESTAURANT,-40144
2026-08-10,COURSES QUOTIDIENNES,-33832
2026-08-22,RESTAURANT,-79019
2026-08-14,SUPERMARCHE,-68284
2026-08-19,RESTAURANT,-40317
2026-08-05,RESTAURANT,-42178
2026-08-06,RESTAURANT,-74250
2026-08-11,ALIMENTATION,-67334
2026-08-11,RESTAURANT,-32604
2026-08-23,SUPERMARCHE,-73081
2026-08-23,CREDIT TELEPHONE,-21260
2026-08-21,CREDIT TELEPHONE,-17183
2026-08-13,CREDIT TELEPHONE,-15346
2026-08-26,CREDIT TELEPHONE,-17147
